,NCES District ID,District Name,Public District Name,"Charter (1=Yes, 0=No)",City,County,Zip,State,State Abbreviation,MathPercentile,ReadPercentile,Total Schools,Total Teachers,Total Students,Student/Teacher Ratio
0,2509390.0,PELHAM,Pelham,0,AMHERST,HAMPSHIRE,1002,Massachusetts,MA,97.25,87.8,1.0,11.0,125.0,11.363636363636363
1,2501920.0,AMHERST-PELHAM,Amherst-Pelham,0,AMHERST,HAMPSHIRE,1002,Massachusetts,MA,84.65,81.89,2.0,117.0,1391.0,11.88888888888889
2,2501890.0,AMHERST,Amherst,0,AMHERST,HAMPSHIRE,1002,Massachusetts,MA,76.61,73.73,3.0,122.0,1183.0,9.69672131147541
3,2500001.0,QUABBIN,Quabbin,0,BARRE,WORCESTER,1005,Massachusetts,MA,67.83,66.6,8.0,159.0,2428.0,15.270440251572326
4,2502430.0,BELCHERTOWN,Belchertown,0,BELCHERTOWN,HAMPSHIRE,1007,Massachusetts,MA,68.37,67.18,5.0,167.0,2380.0,14.251497005988025
5,2503660.0,CHICOPEE,Chicopee,0,CHICOPEE,HAMPDEN,1020,Massachusetts,MA,50.31,47.3,15.0,625.0,7735.0,12.376
6,2500014.0,CHESTERFIELD-GOSHEN,Chesterfield-Goshen,0,WESTHAMPTON,HAMPSHIRE,1027,Massachusetts,MA,74.9,72.47,1.0,16.0,155.0,9.6875
7,2512990.0,WILLIAMSBURG,Williamsburg,0,WESTHAMPTON,HAMPSHIRE,1027,Massachusetts,MA,70.89,70.0,1.0,17.0,165.0,9.705882352941176
8,2505740.0,HAMPSHIRE,Hampshire,0,WESTHAMPTON,HAMPSHIRE,1027,Massachusetts,MA,64.57,75.51,1.0,66.0,760.0,11.515151515151516
9,2504590.0,EASTHAMPTON,Easthampton,0,EASTHAMPTON,HAMPSHIRE,1027,Massachusetts,MA,64.28,58.24,5.0,110.0,1550.0,14.090909090909092
10,2510950.0,SOUTHAMPTON,Southampton,0,WESTHAMPTON,HAMPSHIRE,1027,Massachusetts,MA,60.1,67.9,1.0,37.0,530.0,14.324324324324325
11,2512690.0,WESTHAMPTON,Westhampton,0,WESTHAMPTON,HAMPSHIRE,1027,Massachusetts,MA,51.58,51.82,1.0,12.0,141.0,11.75
12,2504500.0,EAST LONGMEADOW,East Longmeadow,0,EAST LONGMEADOW,HAMPDEN,1028,Massachusetts,MA,76.47,76.23,5.0,202.0,2695.0,13.341584158415841
13,2501800.0,AGAWAM,Agawam,0,FEEDING HILLS,HAMPDEN,1030,Massachusetts,MA,72.73,65.8,8.0,317.0,3990.0,12.586750788643533
14,2505400.0,GRANBY,Granby,0,GRANBY,HAMPSHIRE,1033,Massachusetts,MA,72.26,66.97,3.0,66.0,829.0,12.56060606060606
15,2505580.0,HADLEY,Hadley,0,HADLEY,HAMPSHIRE,1035,Massachusetts,MA,76.46,70.68,2.0,50.0,612.0,12.24
16,2500044.0,PIONEER VALLEY PERFORMING ARTS CHARTER PUBLIC (DISTRICT),Pioneer Valley,1,HADLEY,HAMPSHIRE,1035,Massachusetts,MA,76.32,91.18,1.0,39.0,403.0,10.333333333333334
17,2505940.0,HATFIELD,Hatfield,0,HATFIELD,HAMPSHIRE,1038,Massachusetts,MA,69.17,72.24,2.0,41.0,450.0,10.975609756097562
18,2500031.0,HILLTOWN COOPERATIVE CHARTER  PUBLIC (DISTRICT),Hilltown Cooperative,1,HAYDENVILLE,HAMPSHIRE,1039,Massachusetts,MA,84.56,81.64,1.0,20.0,211.0,10.55
19,2506270.0,HOLYOKE,Holyoke  ,0,HOLYOKE,HAMPDEN,1040,Massachusetts,MA,29.93,26.02,11.0,432.0,5443.0,12.599537037037036
20,2500087.0,HOLYOKE COMMUNITY CHARTER (DISTRICT),Holyoke Community,1,HOLYOKE,HAMPDEN,1040,Massachusetts,MA,27.81,23.12,1.0,52.0,704.0,13.538461538461538
21,2505160.0,GATEWAY,Gateway,0,HUNTINGTON,HAMPSHIRE,1050,Massachusetts,MA,52.36,53.8,5.0,83.0,882.0,10.626506024096386
22,2507050.0,LUDLOW,Ludlow,0,LUDLOW,HAMPDEN,1056,Massachusetts,MA,68.48,65.13,5.0,229.0,2716.0,11.860262008733624
